CustomerKey,FirstName,LastName,FullName,Gender,DateFirstPurchase,CustomerCity
11000,Jon,Yang,JonYang,Male,1/19/2021,Rockhampton
11001,Eugene,Huang,EugeneHuang,Male,1/15/2021,Seaford
11002,Ruben,Torres,RubenTorres,Male,1/7/2021,Hobart
11003,Christy,Zhu,ChristyZhu,Female,12/29/2020,North Ryde
11004,Elizabeth,Johnson,ElizabethJohnson,Female,1/23/2021,Wollongong
11005,Julio,Ruiz,JulioRuiz,Male,12/30/2020,East Brisbane
11006,Janet,Alvarez,JanetAlvarez,Female,1/24/2021,Matraville
11007,Marco,Mehta,MarcoMehta,Male,1/9/2021,Warrnambool
11008,Rob,Verhoff,RobVerhoff,Female,1/25/2021,Bendigo
11009,Shannon,Carlson,ShannonCarlson,Male,1/27/2021,Hervey Bay
11010,Jacquelyn,Suarez,JacquelynSuarez,Female,1/14/2021,East Brisbane
11011,Curtis,Lu,CurtisLu,Male,12/30/2020,East Brisbane
11012,Lauren,Walker,LaurenWalker,Female,3/16/2023,Bremerton
11013,Ian,Jenkins,IanJenkins,Male,4/13/2023,Lebanon
11014,Sydney,Bennett,SydneyBennett,Female,3/23/2023,Redmond
11015,Chloe,Young,ChloeYoung,Female,1/18/2023,Burbank
11016,Wyatt,Hill,WyattHill,Male,2/9/2023,Imperial Beach
11017,Shannon,Wang,ShannonWang,Female,1/12/2021,Sunbury
11018,Clarence,Rai,ClarenceRai,Male,1/17/2021,Bendigo
11019,Luke,Lal,LukeLal,Male,2/12/2023,Langley
11020,Jordan,King,JordanKing,Male,12/29/2022,Metchosin
11021,Destiny,Wilson,DestinyWilson,Female,1/23/2023,Beaverton
11022,Ethan,Zhang,EthanZhang,Male,1/20/2023,Bellingham
11023,Seth,Edwards,SethEdwards,Male,2/17/2023,Bellflower
11024,Russell,Xie,RussellXie,Male,6/27/2023,Concord
11025,Alejandro,Beck,AlejandroBeck,Male,1/6/2021,Hawthorne
11026,Harold,Sai,HaroldSai,Male,1/23/2021,Goulburn
11027,Jessie,Zhao,JessieZhao,Male,1/16/2021,Warrnambool
11028,Jill,Jimenez,JillJimenez,Female,1/26/2021,St. Leonards
11029,Jimmy,Moreno,JimmyMoreno,Male,1/19/2021,Bendigo
11030,Bethany,Yuan,BethanyYuan,Female,2/5/2021,Cloverdale
11031,Theresa,Ramos,TheresaRamos,Female,2/1/2021,Matraville
11032,Denise,Stone,DeniseStone,Female,2/18/2021,Melbourne
11033,Jaime,Nath,JaimeNath,Male,2/15/2021,Milsons Point
11034,Ebony,Gonzalez,EbonyGonzalez,Female,2/1/2021,North Sydney
11035,Wendy,Dominguez,WendyDominguez,Female,2/6/2021,Cranbourne
11036,Jennifer,Russell,JenniferRussell,Female,1/22/2023,National City
11037,Chloe,Garcia,ChloeGarcia,Female,1/20/2023,Cliffside
11038,Diana,Hernandez,DianaHernandez,Female,2/7/2021,Lavender Bay
11039,Marc,Martin,MarcMartin,Male,2/7/2021,Wollongong
11040,Jesse,Murphy,JesseMurphy,Male,4/3/2023,Tacoma
11041,Amanda,Carter,AmandaCarter,Female,1/14/2023,Glendale
11042,Megan,Sanchez,MeganSanchez,Female,1/21/2023,Los Angeles
11043,Nathan,Simmons,NathanSimmons,Male,5/8/2023,Glendale
11044,Adam,Flores,AdamFlores,Male,2/28/2021,Hervey Bay
11045,Leonard,Nara,LeonardNara,Male,4/10/2023,Matraville
11046,Christine,Yuan,ChristineYuan,Female,2/6/2021,Lavender Bay
11047,Jaclyn,Lu,JaclynLu,Female,2/3/2021,Geelong
11048,Jeremy,Powell,JeremyPowell,Male,2/10/2021,Sunbury
11049,Carol,Rai,CarolRai,Female,3/9/2023,Chula Vista
11050,Alan,Zheng,AlanZheng,Male,2/20/2021,Hobart
11051,Daniel,Johnson,DanielJohnson,Male,12/29/2023,Caloundra
11052,Heidi,Lopez,HeidiLopez,Female,2/17/2021,Matraville
11053,Ana,Price,AnaPrice,Female,1/17/2023,San Diego
11054,Deanna,Munoz,DeannaMunoz,Female,2/3/2021,Geelong
11055,Gilbert,Raje,GilbertRaje,Male,1/31/2021,East Brisbane
11056,Michele,Nath,MicheleNath,Female,2/26/2021,Newcastle
11057,Carl,Andersen,CarlAndersen,Male,2/22/2021,Lane Cove
11058,Marc,Diaz,MarcDiaz,Male,3/9/2021,Findon
11059,Ashlee,Andersen,AshleeAndersen,Female,2/18/2023,Townsville
11060,Jon,Zhou,JonZhou,Male,3/19/2021,Warrnambool
11061,Todd,Gao,ToddGao,Male,3/13/2021,Gold Coast
11062,Noah,Powell,NoahPowell,Male,1/7/2023,Portland
11063,Angela,Murphy,AngelaMurphy,Female,1/12/2023,Redmond
11064,Chase,Reed,ChaseReed,Male,1/25/2023,Downey
11065,Jessica,Henderson,JessicaHenderson,Female,2/10/2023,La Jolla
11066,Grace,Butler,GraceButler,Female,5/31/2023,Lebanon
11067,Caleb,Carter,CalebCarter,Male,8/18/2023,Port Orchard
11068,Tiffany,Liang,TiffanyLiang,Female,4/30/2023,Warrnambool
11069,Carolyn,Navarro,CarolynNavarro,Female,4/17/2021,Gold Coast
11070,Willie,Raji,WillieRaji,Male,4/28/2021,Sunbury
11071,Linda,Serrano,LindaSerrano,Female,3/1/2023,Hawthorne
11072,Casey,Luo,CaseyLuo,Female,3/31/2021,St. Leonards
11073,Amy,Ye,AmyYe,Female,3/23/2023,Springwood
11074,Levi,Arun,LeviArun,Male,3/23/2023,Cloverdale
11075,Felicia,Jimenez,FeliciaJimenez,Female,4/28/2021,Bendigo
11076,Blake,Anderson,BlakeAnderson,Male,4/21/2021,Wollongong
11077,Leah,Ye,LeahYe,Female,4/15/2021,Melton
11078,Gina,Martin,GinaMartin,Female,2/15/2023,Cliffside
11079,Donald,Gonzalez,DonaldGonzalez,Male,3/15/2023,Geelong
11080,Damien,Chander,DamienChander,Male,4/10/2021,Perth
11081,Savannah,Baker,SavannahBaker,Female,2/12/2023,Concord
